platform	source	api_name_status
fc	Kujaku Ou (Japan).zip	rom_name_not_in_api
fc	Kujaku Ou II (Japan).zip	rom_name_not_in_api
fc	Kung Fu (Japan, USA) (En).zip	rom_name_not_in_api
fc	Kyonshiizu 2 (Japan).zip	rom_name_not_in_api
fc	Kyoto Hana no Misshitsu Satsujin Jiken (Japan).zip	rom_name_not_in_api
fc	Kyoto Ryuu no Tera Satsujin Jiken (Japan).zip	rom_name_not_in_api
fc	Kyouryuu Sentai Zyuranger (Japan).zip	rom_name_not_in_api
fc	Kyuukyoku Harikiri Stadium - '88 Senshu Shin Data Version (Japan).zip	rom_name_not_in_api
fc	Kyuukyoku Harikiri Stadium - Heisei Gannen Han (Japan).zip	rom_name_not_in_api
fc	Kyuukyoku Harikiri Stadium 3 (Japan).zip	rom_name_not_in_api
fc	Kyuukyoku Tiger (Japan).zip	rom_name_not_in_api
fc	Labyrinth (Japan).zip	rom_name_not_in_api
fc	Lagrange Point (Japan).zip	rom_name_not_in_api
fc	Lasalle Ishii no Child's Quest (Japan).zip	rom_name_not_in_api
fc	Layla (Japan).zip	rom_name_not_in_api
fc	Lipple Island (Japan).zip	rom_name_not_in_api
fc	Lode Runner (Japan).zip	rom_name_not_in_api
fc	Lost Word of Jenny - Ushinawareta Message (Japan).zip	rom_name_not_in_api
fc	Lunar Ball (Japan).zip	rom_name_not_in_api
fc	Lupin Sansei - Pandora no Isan (Japan).zip	rom_name_not_in_api
fc	Mach Rider (Japan, USA) (En).zip	rom_name_not_in_api
fc	Madoola no Tsubasa (Japan).zip	rom_name_not_in_api
fc	Magical Kid's Doropie (Japan).zip	rom_name_not_in_api
fc	Magical Taruruuto-kun - Fantastic World!! (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Magmax (Japan).zip	rom_name_not_in_api
fc	Maharaja (Japan).zip	rom_name_not_in_api
fc	Mahjong (Japan) (Rev B).zip	rom_name_not_in_api
fc	Mahjong RPG Dora Dora Dora (Japan).zip	rom_name_not_in_api
fc	Maison Ikkoku (Japan).zip	rom_name_not_in_api
fc	Majaventure - Mahjong Senki (Japan).zip	rom_name_not_in_api
fc	Majou Densetsu 2 - Daimashikyou Galious (Japan).zip	rom_name_not_in_api
fc	Mappy (Japan) (En).zip	rom_name_not_in_api
fc	Mappy-Land (Japan).zip	rom_name_not_in_api
fc	Mario Bros. (Japan).zip	rom_name_not_in_api
fc	Mashin Eiyuuden Wataru Gaiden (Japan).zip	rom_name_not_in_api
fc	Masuzoe Youichi - Asa Made Famicom (Japan).zip	rom_name_not_in_api
fc	Matsumoto Tooru no Kabushiki Hisshou Gaku (Japan).zip	rom_name_not_in_api
fc	Matsumoto Tooru no Kabushiki Hisshou Gaku - Part II (Japan).zip	rom_name_not_in_api
fc	Meikyuu Kumikyoku (Japan).zip	rom_name_not_in_api
fc	Meikyuu-jima (Japan).zip	rom_name_not_in_api
fc	Metro-Cross (Japan).zip	rom_name_not_in_api
fc	Mickey Mouse (Japan).zip	rom_name_not_in_api
fc	Mickey Mouse III - Yume Fuusen (Japan).zip	rom_name_not_in_api
