platform	source	reason
fc	Ninja Crusaders - Ryuuga (Japan).zip	unmatched ROM
fc	Ninja Hattori-kun - Ninja wa Syugyou de Gozaru no Maki (Japan).zip	unmatched ROM
fc	Ninja Ryuuken Den (Japan).zip	unmatched ROM
fc	Ninja Ryuuken Den II - Ankoku no Jashin Ken (Japan).zip	unmatched ROM
fc	Ninja Ryuuken Den III - Yomi no Hakobune (Japan).zip	unmatched ROM
fc	Ninja-kun - Ashura no Shou (Japan).zip	unmatched ROM
fc	Ninja-kun - Majou no Bouken (Japan) (Rev 1).zip	unmatched ROM
fc	Nobunaga no Yabou - Zenkoku Han (Japan).zip	unmatched ROM
fc	Nuts & Milk (Japan) (En).zip	unmatched ROM
fc	Oishinbo - Kyuukyoku no Menu Sanbon Shoubu (Japan).zip	unmatched ROM
fc	Onyanko Town (Japan).zip	unmatched ROM
fc	Osomatsu-kun - Back to the Me no Deppa no Maki (Japan).zip	unmatched ROM
fc	Outlanders (Japan).zip	unmatched ROM
fc	Over Horizon (Japan) (En).zip	unmatched ROM
fc	Pac-Land (Japan).zip	unmatched ROM
fc	Pac-Man (Japan).zip	unmatched ROM
fc	Pachicom (Japan).zip	unmatched ROM
fc	Pajama Hero - Nemo (Japan).zip	unmatched ROM
fc	Palamedes (Japan).zip	unmatched ROM
fc	Palamedes II - Star Twinkle, Hoshi no Mabataki (Japan).zip	unmatched ROM
fc	Parallel World (Japan).zip	unmatched ROM
fc	Penguin-kun Wars (Japan).zip	unmatched ROM
fc	Perfect Bowling (Japan).zip	unmatched ROM
fc	Perman (Japan).zip	unmatched ROM
fc	Perman Part 2 - Himitsu Kessha Madoodan o Taose! (Japan).zip	unmatched ROM
fc	Plasma Ball (Japan).zip	unmatched ROM
fc	Pocket Zaurus - Juu Ouken no Nazo (Japan).zip	unmatched ROM
fc	Popeye (Japan).zip	unmatched ROM
fc	Power Soccer (Japan).zip	unmatched ROM
fc	Puzznic (Japan).zip	unmatched ROM
fc	Pyokotan no Daimeiro (Japan).zip	unmatched ROM
fc	Quarth (Japan) (En).zip	unmatched ROM
fc	Raid on Bungeling Bay (Japan) (En) (Rev 1).zip	unmatched ROM
fc	Red Arremer II (Japan).zip	unmatched ROM
fc	Rockman (Japan) (En).zip	unmatched ROM
fc	Rockman 6 - Shijou Saidai no Tatakai!! (Japan).zip	unmatched ROM
fc	Rough World (Japan).zip	unmatched ROM
fc	Route-16 Turbo (Japan).zip	unmatched ROM
fc	SD Gundam - Gundam Wars (Japan) (Datach).zip	unmatched ROM
fc	SD Gundam Gaiden - Knight Gundam Monogatari 2 - Hikari no Knight (Japan).zip	unmatched ROM
fc	SD Hero Soukessen - Taose! Aku no Gundan (Japan).zip	unmatched ROM
fc	SD Keiji - Blader (Japan).zip	unmatched ROM
fc	Saiyuuki World 2 - Tenjoukai no Majin (Japan).zip	unmatched ROM
fc	Salad no Kuni no Tomato Hime (Japan).zip	unmatched ROM
fc	Salamander (Japan).zip	unmatched ROM
fc	Samsara Naga (Japan).zip	unmatched ROM
fc	Sangokushi II - Haou no Tairiku (Japan).zip	unmatched ROM
fc	Sanrio Carnival (Japan).zip	unmatched ROM
fc	Sanrio Carnival 2 (Japan).zip	unmatched ROM
fc	Sanrio Cup - Pon Pon Volley (Japan).zip	unmatched ROM
fc	Sansuu 3 Nen - Keisan Game (Japan).zip	unmatched ROM
fc	Satomi Hakkenden (Japan).zip	unmatched ROM
fc	Satsui no Kaisou - Soft House Renzoku Satsujin Jiken (Japan).zip	unmatched ROM
fc	Seikima II - Akuma no Gyakushuu! (Japan).zip	unmatched ROM
fc	Shanghai II (Japan).zip	unmatched ROM
fc	Shikinjou (Japan).zip	unmatched ROM
fc	Shin Jinrui - The New Type (Japan).zip	unmatched ROM
fc	Shinsenden (Japan).zip	unmatched ROM
fc	Shogun (Japan).zip	unmatched ROM
fc	Shounen Ashibe - Nepal Daibouken no Maki (Japan).zip	unmatched ROM
fc	Shuffle Fight (Japan).zip	unmatched ROM
fc	Silva Saga (Japan).zip	unmatched ROM
fc	Sky Destroyer (Japan).zip	unmatched ROM
fc	Sky Kid (Japan) (En).zip	unmatched ROM
fc	Soccer (Japan, USA) (En).zip	unmatched ROM
fc	Son Son (Japan) (En).zip	unmatched ROM
fc	Soreike! Anpanman - Minna de Hiking Game! (Japan).zip	unmatched ROM
fc	Space Harrier (Japan).zip	unmatched ROM
fc	Space Hunter (Japan).zip	unmatched ROM
fc	Spartan X (Japan) (En).zip	unmatched ROM
fc	Spelunker 2 - Yuusha heno Chousen (Japan).zip	unmatched ROM
fc	Splatterhouse - Wanpaku Graffiti (Japan).zip	unmatched ROM
fc	Star Force (Japan).zip	unmatched ROM
fc	Star Luster (Japan).zip	unmatched ROM
fc	Star Wars - The Empire Strikes Back (Japan).zip	unmatched ROM
fc	Stick Hunter - Exciting Ice Hockey (Japan).zip	unmatched ROM
fc	Sukeban Deka 3 (Japan).zip	unmatched ROM
fc	Summer Carnival '92 - Recca (Japan) (En).zip	unmatched ROM
fc	Super Arabian (Japan) (En).zip	unmatched ROM
fc	Super Chinese (Japan).zip	unmatched ROM
fc	Super Dyna'mix Badminton (Japan).zip	unmatched ROM
fc	Super Mario Bros. (Japan).zip	unmatched ROM
fc	Super Mogura Tataki!! - Pokkun Moguraa (Japan).zip	unmatched ROM
fc	Super Pitfall (Japan).zip	unmatched ROM
fc	TM Network - Live in Power Bowl (Japan).zip	unmatched ROM
fc	Tag Team Pro-Wrestling (Japan).zip	unmatched ROM
fc	Taito Chase H.Q. (Japan).zip	unmatched ROM
fc	Taiyou no Shinden (Japan).zip	unmatched ROM
fc	Taiyou no Yuusha - Fighbird (Japan).zip	unmatched ROM
fc	Taiyou no Yuusha Firebird (Japan).zip	unmatched ROM
fc	Takahashi Meijin no Bouken-jima IV (Japan).zip	unmatched ROM
fc	Tanigawa Kouji no Shougi Shinan II (Japan).zip	unmatched ROM
fc	Tanigawa Kouji no Shougi Shinan III (Japan).zip	unmatched ROM
fc	Tantei Jinguuji Saburou - Toki no Sugiyuku Mama ni (Japan).zip	unmatched ROM
fc	Tao (Japan).zip	unmatched ROM
fc	Tashiro Masashi no Princess ga Ippai (Japan).zip	unmatched ROM
