status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	sengoku-sengoku-denshou-sengoku	sengoku.zip	戦国伝承 | Sengoku / Sengoku Denshou	戦国伝承	アクション	SNK	ＭＶＳカートリッジ ：1991/02/12 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1995/03/17	1991-02-12		
official_exact	shock-troopers-2nd-squad-shocktr2	shocktr2.zip	ショックトルーパーズ セカンドスカッド | Shock Troopers - 2nd Squad	ショックトルーパーズ　セカンドスカッド	アクションシューティング	ザウルス	ＭＶＳカートリッジ ：1998/11/06 | ＮＥＯＧＥＯ ＲＯＭ：1999/06/24	1998-11-06		
official_exact	shock-troopers-shocktro	shocktro.zip	ショックトルーパーズ | Shock Troopers	ショックトルーパーズ	シューティング	ザウルス	ＭＶＳカートリッジ ：1997/11/11	1997-11-11		
official_exact	snk-vs-capcom-svc-chaos-svc	svc.zip	SNK VS. CAPCOM SVC CHAOS | SNK vs. Capcom - SVC Chaos	SNK VS. CAPCOM SVC CHAOS	格闘アクション	SNKプレイモア	MV-0　　　　　　 ：2003/07/24 | ＮＥＯＧＥＯ ＲＯＭ：2003/11/13	2003-07-24		
official_exact	soccer-brawl-socbrawl	socbrawl.zip	サッカーブロール | Soccer Brawl	サッカーブロール	スポーツ	SNK	ＭＶＳカートリッジ ：1992/02/14 | ＮＥＯＧＥＯ ＲＯＭ：1992/03/13 | ＮＥＯＧＥＯ ＣＤ　：1995/03/31	1992-02-14		
official_exact	spin-master-miracle-adventure-spinmast	spinmast.zip	ミラクルアドベンチャー | Spin Master / Miracle Adventure	ミラクルアドベンチャー	横スクロールアクション	データイースト	ＭＶＳカートリッジ ：1993/12/16 | ＮＥＯＧＥＯ ＲＯＭ：1994/02/18	1993-12-16		
official_exact	stakes-winner-2-stakwin2	stakwin2.zip	ステークスウィナー2 | Stakes Winner 2	ステークスウィナー2	リアルジョッキーアクション	ザウルス	ＭＶＳカートリッジ ：1996/09/24 | ＮＥＯＧＥＯ ＲＯＭ：1996/12/13	1996-09-24		
official_exact	stakes-winner-stakes-winner-gi-kinzen-seiha-e-no-michi-stakwin	stakwin.zip	ステークスウィナー | Stakes Winner / Stakes Winner - GI Kinzen Seiha e no Michi	ステークスウィナー	アクション	ザウルス	ＭＶＳカートリッジ ：1995/09/27 | ＮＥＯＧＥＯ ＲＯＭ：1995/10/27 | ＮＥＯＧＥＯ ＣＤ　：1996/03/22	1995-09-27		
official_exact	street-hoop-street-slam-dunk-dream-strhoop	strhoop.zip	ダンクドリーム | Street Hoop / Street Slam / Dunk Dream	ダンクドリーム	スポーツ	データイースト	ＭＶＳカートリッジ ：1994/12/08 | ＮＥＯＧＥＯ ＲＯＭ：1994/12/09 | ＮＥＯＧＥＯ ＣＤ　：1995/01/20	1994-12-08		
official_exact	strikers-1945-plus-s1945p	s1945p.zip	ストライカーズ1945 PLUS | Strikers 1945 Plus	STRIKERS 1945 PLUS	シューティング	彩京	ＭＶＳカートリッジ ：1999/12/24	1999-12-24		
review_local_only	super-dodge-ball-kunio-no-nekketsu-toukyuu-densetsu-sdodgeb	sdodgeb.zip	くにおの熱血闘球伝説 | Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu							
